origin,Beijing,Tianjin,Shijiazhuang,Tangshan,Qinhuangdao,Handan,Xingtai,Baoding,Zhangjiakou,Chengde,Cangzhou,Langfang,Hengshui,Taiyuan,Datong,Yangquan,Changzhi,Jincheng,Shuozhou,Jinzhong,Yuncheng,Xinzhou,Linfen,Luliang,Hohhot,Baotou,Wuhai,Chifeng,Tongliao,Erdos,Hulunbeir,Bayannaoer,Ulanchabu,Shenyang,Dalian,Anshan,Fushun,Benxi,Dandong,Jinzhou,Yingkou,Fuxin,Liaoyang,Panjin,Tieling,Chaoyang,Huludao,Changchun,Jilin,Siping,Liaoyuan,Tonghua,Baishan,Baicheng,Harbin,Qiqihar,Jixi,Hegang,Shuangyashan,Daqing,Yichun1,Jiamusi,Qitaihe,Mudanjiang,Heihe,Shanghai,Nanjing,Wuxi,Xuzhou,Changzhou,Suzhou1,Nantong,Lianyungang,Huaian,Yancheng,Yangzhou,Zhenjiang,Taizhou4,Suqian,Hangzhou,Ningbo,Wenzhou,Jiaxing,Huzhou,Shaoxing,Jinhua,Quzhou,Zhoushan,Taizhou2,Lishui,Hefei,Wuhu,Bengbu,Huainan,Maanshan,Huaibei,Tongling,Anqing,Huangshan,Chuzhou,Fuyang,Suzhou4,Liuan,Bozhou,Chizhou,Xuancheng,Fuzhou2,Xiamen,Putian,Sanming,Quanzhou,Zhangzhou,Nanping,Longyan,Ningde,Nanchang,Jingdezhen,Pingxiang,Jiujiang,Xinyu,Yingtan,Ganzhou,JiAn,Yichun2,Fuzhou3,Shangrao,JiNan,Qingdao,Zibo,Zaozhuang,Dongying,Yantai,Weifang,Jining,Taian,Weihai,Rizhao,Laiwu,Linyi,Dezhou,Liaocheng,Binzhou,Heze,Zhengzhou,Kaifeng,Luoyang,Pingdingshan,Anyang,Hebi,Xinxiang,Jiaozuo,Puyang,Xuchang,Luohe,Sanmenxia,Nanyang,Shangqiu,Xinyang,Zhoukou,Zhumadian,Wuhan,Huangshi,Shiyan,Yichang,Xiangfan,Ezhou,Jingmen,Xiaogan,Jingzhou,Huanggang,Xianning,Suizhou,Changsha,Zhuzhou,Xiangtan,Hengyang,Shaoyang,Yueyang,Changde,Zhangjiajie,Yiyang,Chenzhou,Yongzhou,Huaihua,Loudi,Guangzhou,Shaoguan,Shenzhen,Zhuhai,Shantou,Foshan,Jiangmen,Zhanjiang,Maoming,Zhaoqing,Huizhou,Meizhou,Shanwei,Heyuan,Yangjiang,Qingyuan,Dongguan,Zhongshan,Jieyang,Nanning,Liuzhou,Guilin,Wuzhou,Beihai,Fangchenggang,Qinzhou,Guigang,Yulin4,Baise,Hezhou,Hechi,Laibin,Chongzuo,Haikou,Sanya,Chongqing,Chengdu,Zigong,Panzhihua,Luzhou,Deyang,Mianyang,Guangyuan,Suining,Neijiang,Leshan,Nanchong,Meishan,Yibin,GuangAn,Dazhou,Yaan,Bazhong,Ziyang,Guiyang,Zunyi,Kunming,Qujing,Yuxi,Baoshan,Zhaotong,Lijiang,Simao,Lincang,XiAn,Tongchuan,Baoji,Xianyang,Weinan,YanAn,Hanzhong,Yulin2,Ankang,Shangluo,Lanzhou,Jiayuguan,Jinchang,Baiyin,Tianshui,Wuwei,Zhangye,Pingliang,Jiuquan,Qingyang,Dingxi,Longnan,Xining,Yinchuan,Shizuishan,Wuzhong,Guyuan,Zhongwei,Urumqi,Karamay
Kunming,25.636,25.151,23.673,26.027,27.351,21.754,22.373,24.854,27.035,27.679,24.146,25.527,23.141,21.903,24.693,22.876,21.18,20.349,24.399,21.976,18.84,22.837,20.025,21.808,25.15,23.882,24.065,29.919,32.574,23.041,40.986,25.317,25.966,30.699,32.629,30.649,31.564,31.534,32.382,29.019,30.405,30.192,31.485,29.812,31.625,29.64,29.007,33.366,34.203,32.84,32.844,33.03,33.771,36.186,35.727,37.37,39.138,39.735,40.938,36.556,39.422,39.102,40.046,37.748,41.469,23.475,21.05,22.042,22.018,22.338,23.058,23.097,23.181,22.702,23.418,21.957,23.078,22.47,23.048,21.801,23.056,23.676,23.255,22.36,22.428,20.686,20.321,24.844,24.064,22.543,19.756,20.709,20.472,20.566,20.495,22.332,20.746,18.727,19.711,21.332,19.932,21.061,18.355,20.05,20.801,20.779,21.977,21.956,21.461,19.768,20.95,21.052,20.194,19.913,22.833,17.03,18.137,14.549,16.924,15.699,18.328,17.666,15.979,15.341,17.912,19.552,22.5,24.966,23.507,22.211,24.439,26.627,24.798,21.144,22.893,28.101,23.756,22.994,23.312,23.26,21.851,24.042,20.787,19.969,20.258,18.981,17.859,21.103,21.199,19.91,19.813,21.051,18.788,18.2,18.805,17.654,19.862,17.536,18.878,18.118,15.536,16.626,17.376,15.514,15.895,15.993,14.664,16.251,14.01,17.153,15.22,16.023,13.742,14.038,13.561,13.203,11.942,13.758,12.184,12.124,13.084,14.707,12.744,10.146,12.553,15.588,17.058,16.882,16.317,20.016,15.474,15.494,12.552,13.86,14.15,16.433,18.79,19.228,16.806,14.516,16.146,16.329,15.864,19.459,9.077,10.738,12.448,13.327,11.532,11.257,9.925,10.606,10.9,7.125,14.131,10.445,10.661,10.486,16.217,20.024,12.234,9.381,7.519,4.38,8.017,9.685,10.092,11.509,8.865,8.34,7.883,9.666,9.548,6.778,10.189,11.696,9.085,10.759,8.642,5.987,7.139,0.0,1.786,2.343,6.486,4.277,6.87,3.818,6.422,16.603,17.053,18.194,16.263,17.208,19.382,13.611,21.456,15.185,17.467,18.056,25.604,21.569,19.685,15.703,21.357,23.885,18.875,25.297,18.564,17.302,13.89,20.678,22.291,23.895,21.627,19.894,22.013,36.583,39.368
Qujing,23.893,23.408,21.93,24.285,25.609,20.011,20.63,23.112,26.071,25.936,22.404,23.784,21.398,21.16,24.003,21.758,19.437,18.607,23.708,21.066,18.3,22.146,19.485,21.267,24.61,23.341,23.525,28.176,30.831,22.501,39.243,24.777,25.275,28.957,30.886,28.906,29.822,29.791,30.639,27.276,28.662,28.449,29.743,28.069,29.882,27.898,27.265,31.624,32.461,31.098,31.101,31.288,32.029,34.443,33.985,35.627,37.396,37.993,39.196,34.813,37.679,37.359,38.303,36.006,39.727,21.733,19.307,20.299,20.275,20.596,21.315,21.354,21.438,20.959,21.676,20.215,21.336,20.727,21.305,20.059,21.314,21.934,21.513,20.618,20.685,18.944,18.579,23.101,22.322,20.801,18.013,18.967,18.729,18.824,18.752,20.59,19.003,16.985,17.969,19.59,18.19,19.318,16.613,18.307,19.058,19.036,20.235,20.213,19.718,18.025,19.208,19.31,18.452,18.17,21.09,15.288,16.395,12.807,15.182,13.956,16.586,15.924,14.237,13.599,16.169,17.81,20.757,23.223,21.765,20.469,22.697,24.885,23.056,19.402,21.151,26.358,22.013,21.251,21.569,21.518,20.108,22.3,19.044,18.226,18.515,17.239,16.117,19.361,19.456,18.168,18.07,19.309,17.045,16.457,18.265,15.911,18.12,15.793,17.135,16.375,13.793,14.883,15.633,13.772,14.152,14.25,12.921,14.509,12.268,15.411,13.477,14.28,11.999,12.296,11.818,11.461,10.2,12.015,10.442,10.381,11.341,12.965,11.002,8.404,10.811,14.087,15.315,15.381,14.816,18.515,13.972,13.993,11.05,12.359,12.649,14.932,17.289,17.727,15.305,13.014,14.645,14.828,14.363,17.958,7.576,9.236,10.705,11.826,10.031,9.756,8.424,9.105,9.398,5.382,12.63,8.702,9.16,8.984,14.715,18.523,11.072,8.878,6.999,5.213,6.866,9.165,9.566,10.969,8.325,7.8,7.824,9.126,9.336,6.719,9.649,10.534,9.025,10.219,8.101,4.244,5.397,1.786,0.0,3.165,7.308,4.218,7.691,4.64,7.243,16.063,16.513,17.654,15.722,16.668,18.841,13.071,20.915,14.023,16.927,17.515,25.063,21.029,19.145,15.163,20.816,23.344,18.335,24.757,18.024,16.761,13.35,20.138,21.751,23.355,21.086,19.353,21.473,36.043,38.827
Yuxi,27.014,26.529,25.051,27.406,28.73,23.132,23.751,26.233,28.413,29.057,25.525,26.905,24.519,23.281,26.072,24.255,22.558,21.728,25.777,23.355,20.219,24.215,21.403,23.186,26.529,25.26,25.443,31.297,33.952,24.42,42.364,26.696,27.344,32.078,34.007,32.027,32.943,32.912,33.76,30.397,31.783,31.57,32.864,31.19,33.003,31.019,30.386,34.745,35.582,34.219,34.222,34.409,35.15,37.564,37.106,38.748,40.517,41.114,42.317,37.934,40.8,40.48,41.424,39.127,42.848,24.854,22.428,23.42,23.397,23.717,24.436,24.475,24.559,24.08,24.797,23.336,24.457,23.848,24.426,23.18,24.435,25.055,24.634,23.739,23.807,22.065,21.7,26.223,25.443,23.922,21.134,22.088,21.85,21.945,21.873,23.711,22.124,20.106,21.09,22.711,21.311,22.439,19.734,21.428,22.179,22.157,23.356,23.334,22.839,21.147,22.329,22.135,21.573,21.271,24.211,18.409,19.516,15.928,18.303,17.077,19.707,19.045,17.358,16.72,19.29,20.931,23.878,26.344,24.886,23.59,25.818,28.006,26.177,22.523,24.272,29.479,25.134,24.372,24.69,24.639,23.229,25.421,22.165,21.347,21.636,20.36,19.238,22.482,22.577,21.289,21.191,22.43,20.166,19.578,20.184,19.032,21.241,18.914,20.256,19.496,16.914,18.004,18.754,16.893,17.273,17.371,16.042,17.63,15.389,18.532,16.598,17.402,15.12,15.417,14.939,14.582,13.321,15.136,13.563,13.502,14.462,16.086,14.123,11.525,13.932,16.165,18.132,17.459,16.894,20.593,16.05,16.071,13.128,14.437,14.727,17.01,19.367,19.805,17.383,15.093,16.723,16.906,16.441,20.036,9.654,11.314,13.521,13.904,12.109,11.834,10.502,11.183,11.476,7.809,14.708,11.67,11.238,11.062,16.793,20.601,13.613,10.76,8.898,5.617,9.396,11.064,11.471,12.888,10.244,9.718,9.262,11.045,10.926,8.157,11.568,13.075,10.463,12.138,10.02,7.365,8.518,2.343,3.165,0.0,7.367,5.655,7.75,2.979,7.302,17.982,18.431,19.573,17.641,18.586,20.76,14.989,22.834,16.563,18.846,19.434,26.982,22.947,21.064,17.082,22.735,25.263,20.253,26.675,19.942,18.68,15.269,22.057,23.67,25.274,23.005,21.272,23.392,37.962,40.746
Baoshan,31.157,30.672,29.194,31.549,32.873,27.275,27.894,30.376,32.556,33.2,29.667,31.048,28.662,27.424,30.215,28.398,26.701,25.871,29.92,27.498,24.362,28.358,25.546,27.329,30.672,29.403,29.586,35.44,38.095,28.563,46.507,30.839,31.487,36.221,38.15,36.17,37.085,37.055,37.903,34.54,35.926,35.713,37.007,35.333,37.146,35.162,34.528,38.888,39.725,38.362,38.365,38.552,39.293,41.707,41.249,42.891,44.66,45.257,46.46,42.077,44.943,44.623,45.567,43.27,46.991,28.997,26.571,27.563,27.539,27.859,28.579,28.618,28.702,28.223,28.94,27.479,28.599,27.991,28.569,27.323,28.578,29.198,28.776,27.881,27.949,26.207,25.843,30.365,29.586,28.065,25.277,26.231,25.993,26.088,26.016,27.854,26.267,24.249,25.233,26.854,25.453,26.582,23.877,25.571,26.322,26.3,27.499,27.477,26.982,25.289,26.472,26.573,25.716,25.434,28.354,22.551,23.658,20.071,22.445,21.22,23.85,23.188,21.5,20.863,23.433,25.074,28.021,30.487,29.028,27.733,29.96,32.148,30.32,26.666,28.415,33.622,29.277,28.515,28.833,28.782,27.372,29.564,26.308,25.49,25.779,24.502,23.381,26.624,26.72,25.431,25.334,26.573,24.309,23.721,24.326,23.175,25.383,23.057,24.399,23.639,21.057,22.147,22.897,21.036,21.416,21.514,20.185,21.772,19.532,22.675,20.741,21.544,19.263,19.56,19.082,18.725,17.463,19.279,17.706,17.645,18.605,20.229,18.266,15.668,18.074,21.04,22.579,22.334,21.769,25.468,20.925,20.946,18.004,19.312,19.602,21.885,24.242,24.68,22.258,19.968,21.598,21.781,21.316,24.911,14.529,16.19,17.969,18.779,16.984,16.709,15.377,16.058,16.352,12.64,19.583,15.966,16.113,15.938,21.669,25.476,17.755,14.903,13.041,9.568,13.538,15.207,15.614,17.031,14.387,13.861,13.405,15.188,15.069,12.3,15.711,17.218,14.606,16.281,14.163,11.508,12.661,6.486,7.308,7.367,0.0,9.798,5.296,7.959,5.867,22.125,22.574,23.716,21.784,22.729,24.903,19.132,26.977,20.706,22.989,23.577,31.125,27.09,25.207,21.224,26.878,29.406,24.396,30.818,24.085,22.823,19.412,26.2,27.813,29.417,27.148,25.415,27.534,42.105,44.889
Zhaotong,22.604,22.669,20.427,23.808,25.132,19.386,19.958,21.576,23.153,24.719,22.091,22.659,21.353,18.02,20.811,18.994,17.906,17.0,20.517,18.094,14.958,18.955,16.143,17.926,21.268,20.0,20.183,26.959,29.757,19.159,37.235,21.435,22.084,28.48,30.41,28.43,29.345,29.315,30.163,26.8,28.186,27.973,29.266,27.593,29.406,27.022,26.788,31.147,31.984,30.621,30.625,30.811,31.552,32.434,33.508,33.618,36.919,37.516,38.719,34.337,37.203,36.883,37.826,35.529,39.25,22.551,19.974,21.113,20.23,21.263,22.131,22.134,21.393,21.607,22.343,20.882,22.003,21.394,21.26,21.688,23.285,23.905,22.536,21.638,22.535,20.915,20.545,25.043,24.293,22.772,18.68,19.684,19.396,19.491,19.419,20.544,20.024,18.005,19.645,20.257,18.33,19.301,17.28,18.261,20.079,20.057,22.458,22.777,22.282,20.589,21.772,21.873,20.423,20.734,23.042,17.239,18.118,14.759,16.825,15.908,18.538,18.488,16.59,15.551,18.121,19.762,20.712,23.178,21.719,20.423,22.651,24.839,23.01,19.356,21.105,26.313,21.968,21.206,21.524,21.472,20.063,22.254,18.999,18.08,18.47,16.009,16.071,18.846,18.942,17.687,17.067,19.263,16.999,16.412,14.923,15.866,18.074,15.958,17.09,16.481,14.674,15.904,14.155,12.932,14.106,15.271,12.804,15.186,13.035,16.392,15.425,14.386,13.973,14.248,13.77,14.025,12.763,13.963,12.416,11.258,13.315,15.529,13.566,10.356,12.762,18.261,17.879,19.555,18.99,22.571,18.146,18.167,15.225,16.533,16.823,19.106,20.891,21.901,19.479,17.189,18.819,19.002,18.537,21.992,11.75,12.905,13.928,16.0,14.205,13.93,12.598,13.279,13.573,9.556,16.071,11.918,13.334,13.159,18.89,22.697,8.352,5.499,3.637,7.704,4.135,5.803,6.21,7.627,4.983,4.458,4.001,5.784,5.665,2.896,6.307,7.814,5.202,6.877,4.76,7.203,6.083,4.277,4.218,5.655,9.798,0.0,10.182,7.131,9.734,12.721,13.171,14.312,12.381,13.326,15.499,9.729,17.574,11.303,13.585,14.173,21.722,17.687,15.803,11.821,17.474,20.002,14.993,21.415,14.682,13.419,10.008,16.796,18.409,20.013,17.745,16.011,18.131,32.701,35.485
Lijiang,31.54,31.055,29.578,31.932,33.256,27.658,28.278,30.759,32.94,33.583,30.051,31.432,29.045,27.807,30.598,28.781,27.084,26.254,30.303,27.881,24.745,28.742,25.93,27.712,31.055,29.786,29.97,35.823,38.478,28.946,46.891,31.222,31.87,36.604,38.533,36.553,37.469,37.438,38.286,34.924,36.309,36.096,37.39,35.716,37.529,35.545,34.912,39.271,40.108,38.745,38.748,38.935,39.676,42.09,41.632,43.274,45.043,45.64,46.843,42.461,45.327,45.006,45.95,43.653,47.374,29.38,26.954,27.946,27.923,28.243,28.962,29.002,29.086,28.607,29.323,27.862,28.983,28.374,28.953,27.706,28.961,29.581,29.16,28.265,28.333,26.591,26.226,30.749,29.969,28.448,25.66,26.614,26.376,26.471,26.399,28.237,26.651,24.632,25.616,27.237,25.837,26.965,24.26,25.954,26.706,26.683,27.882,27.861,27.365,25.673,26.855,26.957,26.099,25.817,28.738,22.935,24.042,20.454,22.829,21.603,24.233,23.571,21.884,21.246,23.817,25.457,28.405,30.871,29.412,28.116,30.344,32.532,30.703,27.049,28.798,34.005,29.66,28.898,29.216,29.165,27.755,29.947,26.692,25.873,26.163,24.886,23.764,27.008,27.104,25.815,25.717,26.956,24.692,24.105,24.71,23.558,25.767,23.441,24.783,24.023,21.441,22.531,23.28,21.419,21.799,21.897,20.568,22.156,19.915,23.058,21.125,21.928,19.646,19.943,19.465,19.108,17.847,19.663,18.089,18.028,18.988,20.612,18.649,16.051,18.458,21.423,22.962,22.717,22.152,25.851,21.309,21.33,18.387,19.695,19.985,22.268,24.625,25.063,22.641,20.351,21.981,22.164,21.699,25.294,14.912,16.573,18.352,19.163,17.368,17.092,15.76,16.441,16.735,13.023,19.966,16.349,16.497,16.321,22.052,25.859,18.139,15.286,13.424,9.951,13.922,15.59,15.997,17.414,14.77,14.245,13.788,15.571,15.452,12.683,16.094,17.601,14.989,16.664,14.546,11.891,13.044,6.87,7.691,7.75,5.296,10.182,0.0,8.342,6.444,22.508,22.958,24.099,22.167,23.113,25.286,19.516,27.36,21.089,23.372,23.96,31.508,27.474,25.59,21.608,27.261,29.789,24.78,31.202,24.469,23.206,19.795,26.583,28.196,29.8,27.531,25.798,27.918,42.488,45.272
Simao,28.49,28.004,26.527,28.881,30.205,24.608,25.227,27.708,29.889,30.533,27.0,28.381,25.995,24.756,27.547,25.73,24.034,23.203,27.253,24.83,21.694,25.691,22.879,24.662,28.004,26.736,26.919,32.772,35.428,25.895,43.84,28.171,28.82,33.553,35.483,33.502,34.418,34.387,35.235,31.873,33.258,33.045,34.339,32.666,34.479,32.494,31.861,36.22,37.057,35.694,35.697,35.884,36.625,39.039,38.581,40.224,41.992,42.589,43.792,39.41,42.276,41.955,42.899,40.602,44.323,26.329,23.904,24.896,24.872,25.192,25.912,25.951,26.035,25.556,26.272,24.811,25.932,25.324,25.902,24.655,25.91,26.53,26.109,25.214,25.282,23.54,23.175,27.698,26.918,25.397,22.61,23.563,23.326,23.42,23.349,25.186,23.6,21.581,22.565,24.186,22.786,23.914,21.209,22.904,23.655,23.633,24.831,24.213,24.315,22.622,23.804,22.651,23.048,21.786,25.687,19.884,20.991,17.403,19.778,18.553,21.182,20.319,18.833,18.195,20.766,22.406,25.354,27.82,26.361,25.065,27.293,29.481,27.652,23.998,25.747,30.955,26.61,25.848,26.166,26.114,24.705,26.896,23.641,22.823,23.112,21.835,20.713,23.957,24.053,22.764,22.666,23.905,21.642,21.054,21.659,20.508,22.716,20.39,21.732,20.972,18.39,19.48,20.23,18.368,18.748,18.847,17.518,19.105,16.864,20.007,18.074,18.877,16.596,16.892,16.415,16.057,14.796,16.612,15.038,14.977,15.938,17.195,15.598,13.0,15.407,16.68,18.647,17.974,17.409,21.108,16.566,16.587,13.644,14.952,15.242,17.525,19.882,20.32,17.898,15.608,17.239,17.421,16.956,20.551,10.169,11.83,14.036,14.42,12.625,12.35,11.017,11.698,11.992,8.325,15.223,12.185,11.754,11.578,17.309,21.116,15.088,12.235,10.373,7.092,10.871,12.539,12.946,14.363,11.719,11.194,10.737,12.52,12.401,9.632,13.043,14.55,11.939,13.613,11.496,8.841,9.993,3.818,4.64,2.979,7.959,7.131,8.342,0.0,4.955,19.457,19.907,21.048,19.117,20.062,22.235,16.465,24.31,18.039,20.321,20.91,28.458,24.423,22.539,18.557,24.21,26.738,21.729,28.151,21.418,20.155,16.744,23.532,25.145,26.749,24.481,22.747,24.867,39.437,42.221
Lincang,31.093,30.608,29.13,31.484,32.808,27.211,27.83,30.311,32.492,33.136,29.603,30.984,28.598,27.359,30.15,28.333,26.637,25.806,29.856,27.433,24.297,28.294,25.482,27.265,30.607,29.339,29.522,35.376,38.031,28.498,46.443,30.774,31.423,36.156,38.086,36.106,37.021,36.991,37.839,34.476,35.862,35.649,36.942,35.269,37.082,35.097,34.464,38.823,39.66,38.297,38.301,38.487,39.228,41.642,41.184,42.827,44.595,45.192,46.395,42.013,44.879,44.559,45.502,43.205,46.926,28.932,26.507,27.499,27.475,27.795,28.515,28.554,28.638,28.159,28.875,27.414,28.535,27.927,28.505,27.258,28.513,29.133,28.712,27.817,27.885,26.143,25.778,30.301,29.521,28.0,25.213,26.166,25.929,26.023,25.952,27.789,26.203,24.184,25.168,26.789,25.389,26.518,23.812,25.507,26.258,26.236,27.434,27.413,26.918,25.225,26.407,26.509,25.651,25.37,28.29,22.487,23.594,20.006,22.381,21.156,23.785,23.123,21.436,20.798,23.369,25.009,27.957,30.423,28.964,27.668,29.896,32.084,30.255,26.601,28.35,33.558,29.213,28.451,28.769,28.717,27.308,29.499,26.244,25.426,25.715,24.438,23.316,26.56,26.656,25.367,25.27,26.508,24.245,23.657,24.262,23.111,25.319,22.993,24.335,23.575,20.993,22.083,22.833,20.971,21.351,21.45,20.121,21.708,19.467,22.61,20.677,21.48,19.199,19.495,19.018,18.66,17.399,19.215,17.641,17.581,18.541,20.164,18.201,15.603,18.01,20.976,22.515,22.269,21.704,25.403,20.861,20.882,17.939,19.248,19.538,21.821,24.178,24.616,22.194,19.903,21.534,21.717,21.251,24.847,14.465,16.125,17.905,18.715,16.92,16.645,15.312,15.994,16.287,12.575,19.519,15.902,16.049,15.873,21.604,25.412,17.691,14.838,12.976,9.504,13.474,15.142,15.549,16.966,14.322,13.797,13.34,15.123,15.005,12.235,15.646,17.153,14.542,16.216,14.099,11.444,12.596,6.422,7.243,7.302,5.867,9.734,6.444,4.955,0.0,22.06,22.51,23.651,21.72,22.665,24.839,19.068,26.913,20.642,22.924,23.513,31.061,27.026,25.142,21.16,26.814,29.342,24.332,30.754,24.021,22.759,19.347,26.135,27.748,29.352,27.084,25.351,27.47,42.04,44.825
XiAn,10.604,10.669,8.427,11.808,13.132,7.386,7.957,9.576,11.153,12.719,10.09,10.659,9.428,6.02,8.811,6.994,5.906,5.0,8.516,6.094,2.958,6.955,4.143,5.926,9.269,8.0,8.565,14.959,17.757,7.16,25.234,9.818,10.083,16.48,18.409,16.429,17.345,17.314,18.162,14.8,16.185,15.972,17.266,15.593,17.405,15.022,14.788,19.147,19.984,18.621,18.624,18.811,19.552,20.434,21.508,21.618,24.919,25.516,26.719,22.337,25.203,24.882,25.826,23.529,27.25,13.693,11.101,12.29,9.231,12.282,13.414,13.089,10.394,10.659,11.714,11.756,12.885,12.268,10.261,13.311,15.113,17.206,14.019,13.261,14.158,14.25,13.838,16.672,17.493,16.108,10.11,11.114,9.349,9.971,10.849,9.777,12.295,11.214,12.853,10.749,8.477,8.534,8.708,7.495,13.287,11.673,17.263,19.324,18.829,16.203,18.319,18.42,15.547,17.28,17.579,11.603,11.327,11.278,10.033,12.409,13.022,15.26,13.091,12.061,13.082,13.944,9.435,11.901,10.38,9.256,11.278,13.562,11.671,8.079,9.828,15.036,10.691,9.929,10.247,9.569,8.16,10.881,7.722,6.08,6.707,4.009,4.998,6.846,6.941,5.687,5.066,7.374,6.111,5.898,2.923,5.598,7.08,6.371,6.576,6.687,7.78,9.112,3.97,8.264,5.388,8.479,6.461,7.733,7.362,9.3,8.966,6.4,10.114,11.046,10.588,11.641,11.267,8.706,8.571,10.337,9.456,13.175,12.172,11.768,11.003,17.552,15.46,18.17,18.906,19.117,17.812,18.482,20.653,20.237,17.592,17.72,17.437,20.515,17.323,19.385,17.454,18.002,18.501,18.539,18.76,16.318,14.979,17.629,20.203,20.541,19.123,18.083,18.685,18.923,16.407,18.322,17.423,20.203,24.433,28.24,7.566,8.032,9.368,16.588,10.51,7.307,6.86,5.242,7.874,9.454,9.232,7.375,9.691,9.877,8.161,5.817,9.315,6.491,8.791,13.628,12.249,16.603,16.063,17.982,22.125,12.721,22.508,19.457,22.06,0.0,1.171,3.05,0.792,1.326,3.5,3.538,5.574,3.808,1.705,6.036,13.584,9.549,7.666,4.923,9.337,11.865,3.42,13.277,3.109,5.429,7.21,8.659,6.752,8.398,6.684,5.278,7.398,24.564,27.348
Tongchuan,10.502,10.568,8.326,11.707,13.031,7.366,7.856,9.475,10.982,12.618,9.989,10.558,9.411,5.919,8.71,6.893,5.886,4.98,8.415,5.993,2.947,6.853,4.041,4.916,8.154,6.886,7.451,14.858,17.655,6.045,24.472,8.703,9.321,16.379,18.308,16.328,17.243,17.213,18.061,14.698,16.084,15.871,17.165,15.491,17.304,14.921,14.687,19.046,19.883,18.52,18.523,18.71,19.451,19.671,21.407,20.856,24.818,25.415,26.618,22.235,25.101,24.781,25.725,23.428,27.149,13.682,11.09,12.279,9.22,12.271,13.403,13.078,10.383,10.648,11.703,11.745,12.874,12.257,10.25,13.525,15.105,17.419,14.008,13.461,14.371,14.658,14.246,16.646,17.706,16.516,10.518,11.522,9.338,9.96,11.236,9.766,12.703,11.622,13.261,10.738,8.471,8.523,9.116,7.484,13.695,12.081,17.671,19.732,19.237,16.611,18.727,18.828,15.955,17.689,17.987,12.011,11.735,11.686,10.441,12.818,13.43,15.668,13.499,12.469,13.49,14.352,9.424,11.89,10.369,9.244,11.267,13.551,11.66,8.068,9.817,15.025,10.68,9.918,10.236,9.558,8.149,10.87,7.711,6.069,6.696,3.998,4.987,6.835,6.93,5.676,5.055,7.363,6.1,5.887,2.912,6.006,7.069,6.779,6.565,6.758,8.188,9.52,4.378,8.672,5.796,8.887,6.869,8.141,7.77,9.708,9.374,6.808,10.522,11.455,10.996,12.05,11.676,9.114,8.979,10.745,9.864,13.583,12.58,12.176,11.411,17.96,15.868,18.578,19.314,19.525,18.22,18.89,21.061,20.645,18.0,18.128,17.845,20.923,17.731,19.793,17.863,18.41,18.91,18.947,19.168,16.726,15.387,18.037,20.611,20.95,19.531,18.491,19.094,19.396,16.815,18.808,17.831,20.611,24.841,28.648,8.052,8.482,9.818,17.038,10.96,7.756,7.31,5.691,8.324,9.903,9.682,7.825,10.141,10.327,8.646,6.303,9.764,6.941,9.241,14.114,12.734,17.053,16.513,18.431,22.574,13.171,22.958,19.907,22.51,1.171,0.0,3.377,0.957,1.315,2.465,3.987,4.46,4.293,2.113,5.176,12.724,8.689,6.806,5.251,8.477,11.005,2.56,12.417,2.249,4.569,7.66,7.799,5.637,7.284,5.668,4.418,6.538,23.704,26.488
