source,target,distance
BTG,BMV,5.72
BTG,LOB,4.0
BTH,BOA,8.13
BTH,BRI,17.47
BTH,CPM,19.23
BTH,FFD,5.56
BTH,KYN,10.51
BTH,OLF,1.62
BTL,DEW,2.02
BTL,MLY,5.0
BTN,BUG,13.9
BTN,FMR,5.28
BTN,HHE,19.77
BTN,HOV,2.18
BTN,HSK,10.65
BTN,LRB,0.92
BTN,MCB,2.53
BTN,PRP,2.13
BTO,DPD,4.15
BTO,REI,4.45
BTP,BTR,1.03
BTP,CES,1.99
BTR,BTP,1.03
BTS,AUR,4.19
BTS,KGH,3.91
BTT,CSM,9.52
BTT,GTA,3.83
BTT,KLD,2.72
BTY,AON,7.62
BTY,FNH,6.28
BUB,BNC,0.89
BUB,RSG,1.67
BUC,BDA,3.23
BUC,CNY,3.6
BUD,KEN,3.1
BUD,SVL,4.11
BUE,CWC,5.06
BUE,SUY,7.62
BUG,BTN,13.9
BUG,HHE,5.96
BUG,HSK,3.47
BUG,WVF,1.23
BUH,BMF,6.34
BUH,FRY,4.84
BUH,GBD,10.31
BUH,GOO,19.56
BUH,HOW,18.96
BUH,HUL,15.46
BUH,SBY,32.44
BUI,CFF,1.53
BUI,KKH,2.23
BUJ,CTO,3.34
BUJ,LOW,3.85
BUK,HPT,4.51
BUK,KNI,6.51
BUL,BKT,1.46
BUL,FOK,1.56
BUO,HME,2.22
BUO,SNW,2.93
BUS,CKS,1.31
BUS,HMY,3.34
BUS,THT,1.47
BUT,BHM,40.33
BUT,DBY,17.2
BUT,TAM,19.01
BUT,WIL,7.52
BUU,ALN,4.53
BUU,SMN,3.34
BUW,BEY,3.49
BUW,MNN,2.14
BUX,CEF,5.74
BUX,DVH,4.6
BUY,HDY,1.23
BUY,LDS,2.78
BVD,ABW,2.2
BVD,ERH,1.94
BWB,BLY,2.93
BWB,FEN,1.56
BWB,WOB,3.26
BWD,GLZ,4.84
BWD,IRL,6.76
BWD,MCO,20.13
BWD,PDG,2.03
BWD,WAC,4.82
BWG,DBE,3.96
BWG,KPT,2.62
BWK,ALM,48.61
BWK,DUN,39.99
BWK,EDB,76.08
BWK,MPT,71.18
BWK,NCL,93.11
BWK,RSN,14.36
BWN,BLX,0.98
BWN,LAW,3.5
BWO,GSN,2.6
BWO,HWW,1.69
BWS,LBO,4.46
BWS,SIL,3.44
BWT,BRI,45.66
BWT,HIG,10.1
BWT,TAU,14.0
BWT,WSM,24.09
BXB,CHN,4.98
BXB,HWN,8.24
BXB,RYH,2.75
BXB,RYN,4.55
BXB,TOM,17.96
BXB,WLC,6.96
BXD,COH,7.42
BXD,UCK,3.41
BXH,BNH,1.91
BXH,ELW,5.69
BXH,PLU,4.49
BXH,WLI,2.2
BXW,DKG,1.48
BXW,LHD,4.99
BXY,AYP,1.61
BXY,CRY,2.28
BXY,SID,3.19
BYA,GYM,6.6
BYA,REE,5.55
BYB,LGN,5.27
BYB,UTT,16.13
BYC,LWR,5.8
BYC,PYP,5.11
BYD,BRY,1.8
BYD,CAD,1.37
BYE,LLE,4.31
BYE,LLH,2.53
BYF,BSI,2.19
BYF,CAN,10.88
BYF,DEE,6.14
BYF,MON,3.67
BYI,BRY,0.94
BYK,AWK,3.81
BYK,DON,2.58
BYL,GOF,1.67
BYL,MON,4.7
BYM,ACR,8.71
BYM,HBD,16.63
BYM,RSG,2.2
BYM,TOD,12.61
BYN,GSW,2.0
BYN,WGN,4.99
BYS,NRT,2.44
BYS,SEL,3.32
CAA,BEH,3.96
